StationNumber,Station name
11136500,CUYAMA R NR VENTUCOPA CA
11136600,SANTA BARBARA CYN C NR VENTUCOPA CA
11136710,CUYAMA R NR NEW CUYAMA CA
11136800,CUYAMA R BL BUCKHORN CYN NR SANTA MARIA CA
11137900,HUASNA R NR ARROYO GRANDE CA
11138500,SISQUOC R NR SISQUOC CA
11140000,SISQUOC R NR GAREY
11140585,SANTA MARIA R A SUEY CROSSING NR SANTA MARIA CA
11141050,ORCUTT C NR ORCUTT CA
11141280,LOPEZ C NR ARROYO GRANDE CA
11143000,BIG SUR R NR BIG SUR CA
11143200,CARMEL R A ROBLES DEL RIO CA
11143250,CARMEL R NR CARMEL CA
11147070,SANTA RITA C NR TEMPLETON CA
11147098,PASO ROBLES C A GARCIA RD NR TEMPLETON CA
11147500,SALINAS R A PASO ROBLES CA
11148500,ESTRELLA R NR ESTRELLA CA
11148900,NACIMIENTO R BL SAPAQUE C NR BRYSON CA
11149400,NACIMIENTO R BL NACIMIENTO DAM NR BRADLEY CA
11149900,SAN ANTONIO R NR LOCKWOOD CA
11150500,SALINAS R NR BRADLEY CA
11151300,SAN LORENZO C BL BITTERWATER C NR KING CITY CA
11151700,SALINAS R A SOLEDAD CA
11151870,ARROYO SECO NR GREENFIELD CA
11152000,ARROYO SECO NR SOLEDAD CA
11152050,ARROYO SECO BL RELIZ C NR SOLEDAD CA
11152300,SALINAS R NR CHUALAR CA
11152500,SALINAS R NR SPRECKELS CA
11152650,RECLAMATION DITCH NR SALINAS CA
11152870,NF PACHECO C BLW PACHECO RES NR BELL STATION CA
11152900,CEDAR C NR BELL STATION CA
11152900,CEDAR C NR BELL STATION CA
11153000,PACHECO C NR DUNNEVILLE CA
11153650,LLAGAS C NR GILROY
11156500,SAN BENITO R NR WILLOW CREEK SCHOOL CA
11157500,TRES PINOS C NR TRES PINOS CA
11157500,TRES PINOS C NR TRES PINOS CA
11158600,SAN BENITO R BL HOSPITAL RD BRIDGE NR HOLLISTER CA
11159000,PAJARO R A CHITTENDEN CA
11159200,CORRALITOS C A FREEDOM CA
11159490,SALSIPUEDES C NR WATSONVILLE CA
11159500,PAJARO R A WATSONVILLE CA
11159690,APTOS C NR APTOS CA
11160000,SOQUEL C A SOQUEL CA
11160500,SAN LORENZO R A BIG TREES CA
11161000,SAN LORENZO R A SANTA CRUZ CA
11162500,PESCADERO C NR PESCADERO CA
11162540,BUTANO C NR PESCADERO CA
11162540,BUTANO C NR PESCADERO CA
11162570,SAN GREGORIO C A SAN GREGORIO CA
111626182,PILARCITOS C BL SPILLWAY NR HILLSBOROUGH CA
11162619,PILARCITOS C AB STONE DAM NR HILLSBOROUGH CA
11162620,PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA
11162630,PILARCITOS C A HALF MOON BAY CA
11162735,SAN MATEO C AB JUNCTION BOX A DAM1 NR HILLSBOROUGH
11162737,SAN MATEO C BL JUNCTION BOX A DAM1 NR HILLSBOROUGH
11162753,SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA
11164500,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA
11169025,GUADALUPE R ABV HWY 101 A SAN JOSE CA
11169500,SARATOGA C A SARATOGA CA
11169800,COYOTE C NR GILROY CA
11169860,COYOTE C BL COYOTE RES NR SAN MARTIN CA
11170000,COYOTE C NR MADRONE CA
11170000,COYOTE C NR MADRONE CA
11171500,COYOTE C NR EDENVALE CA
11172175,COYOTE C AB HWY 237 A MILPITAS CA
11172945,ALAMEDA C AB DIV DAM NR SUNOL CA
